order_id,order_date,customer_id,store_id,promotion_id,channel,payment_method,order_status,subtotal,tax_amount,shipping_amount,total_amount,total_cost
ORD-000031,2024-11-14,CUST-00256,,PROMO-014,Phone,Gift Card,Completed,1291.65,96.87,3.93,1392.45,525.18
ORD-000032,2023-05-26,CUST-00701,,PROMO-014,Website,Credit Card,Returned,577.49,43.31,15.87,636.67,300.61
ORD-000033,2023-02-26,CUST-00016,,PROMO-014,Website,PayPal,Shipped,226.02,16.95,14.55,257.52,78.86
ORD-000034,2024-11-07,CUST-01730,STORE-012,PROMO-014,In-Store,Cash,Returned,692.95,51.97,0.0,744.92,357.55
ORD-000035,2023-11-21,CUST-02637,STORE-012,PROMO-014,In-Store,Gift Card,Completed,1209.98,90.75,0.0,1300.73,448.99
ORD-000036,2023-10-07,CUST-01183,,PROMO-014,Phone,PayPal,Returned,1700.97,127.57,3.91,1832.45,900.19
ORD-000037,2024-12-30,CUST-02591,,PROMO-014,Phone,Debit Card,Cancelled,176.48,13.24,3.91,193.63,91.03
ORD-000038,2024-10-18,CUST-02477,STORE-002,PROMO-014,In-Store,Credit Card,Completed,174.34,13.08,0.0,187.42,85.76
ORD-000039,2023-01-18,CUST-00717,,PROMO-014,Marketplace,Cash,Completed,4332.04,324.9,6.69,4663.63,2340.49
ORD-000040,2023-07-18,CUST-01716,STORE-004,PROMO-014,In-Store,Gift Card,Completed,531.16,39.84,0.0,571.0,217.82
ORD-000041,2024-06-25,CUST-02441,,PROMO-014,Website,Debit Card,Completed,475.79,35.68,10.99,522.46,161.67
ORD-000042,2023-05-22,CUST-00801,STORE-009,PROMO-014,In-Store,Cash,Completed,1730.41,129.78,0.0,1860.19,807.21
ORD-000043,2024-06-16,CUST-00883,STORE-008,PROMO-010,Marketplace,PayPal,Returned,1764.75,132.36,2.77,1899.88,922.77
ORD-000044,2023-10-21,CUST-00379,,PROMO-014,Mobile App,Apple Pay,Returned,258.66,19.4,11.59,289.65,126.09
ORD-000045,2024-07-21,CUST-02588,STORE-015,PROMO-014,In-Store,Cash,Completed,295.64,22.17,0.0,317.81,131.78
ORD-000046,2023-12-02,CUST-01763,,PROMO-014,Mobile App,Debit Card,Shipped,742.99,55.72,13.75,812.46,278.33
ORD-000047,2024-08-03,CUST-01260,,PROMO-014,Website,Apple Pay,Processing,3597.72,269.83,0.2,3867.75,1500.36
ORD-000048,2023-11-04,CUST-00160,,PROMO-014,Marketplace,Cash,Completed,1446.17,108.46,7.34,1561.97,747.41
ORD-000049,2023-09-30,CUST-01869,STORE-015,PROMO-014,In-Store,Debit Card,Cancelled,1826.46,136.98,0.0,1963.44,872.39
ORD-000050,2023-11-06,CUST-00686,STORE-005,PROMO-014,Marketplace,Cash,Cancelled,674.79,50.61,15.82,741.22,378.99
ORD-000051,2023-01-01,CUST-02267,,PROMO-014,Phone,Gift Card,Completed,2182.5,163.69,3.65,2349.84,1058.42
ORD-000052,2024-05-28,CUST-02517,,PROMO-014,Marketplace,Debit Card,Completed,350.02,26.25,1.1,377.37,171.62
ORD-000053,2024-09-14,CUST-02491,,PROMO-014,Website,Credit Card,Processing,334.04,25.05,5.78,364.87,177.14
ORD-000054,2024-11-27,CUST-00963,STORE-010,PROMO-014,Website,Gift Card,Returned,324.74,24.36,12.54,361.64,152.69
ORD-000055,2024-11-29,CUST-00946,,PROMO-014,Marketplace,Cash,Shipped,70.89,5.32,9.81,86.02,34.38
ORD-000056,2024-05-19,CUST-02297,,PROMO-014,Phone,Debit Card,Shipped,1109.65,83.22,2.74,1195.61,527.61
ORD-000057,2023-12-22,CUST-01248,,PROMO-014,Marketplace,Debit Card,Cancelled,1471.0,110.32,7.1,1588.42,683.94
ORD-000058,2023-09-05,CUST-01177,STORE-013,PROMO-014,Marketplace,Gift Card,Returned,794.03,59.55,8.17,861.75,305.33
ORD-000059,2023-03-01,CUST-01143,,PROMO-014,Mobile App,Gift Card,Completed,1846.06,138.45,13.43,1997.94,684.75
ORD-000060,2023-09-23,CUST-00244,,PROMO-014,Marketplace,Debit Card,Completed,3968.23,297.62,13.32,4279.17,1325.38
ORD-000061,2023-11-21,CUST-02436,,PROMO-014,Marketplace,Apple Pay,Shipped,896.56,67.24,4.49,968.29,339.87
ORD-000062,2023-01-01,CUST-00852,,PROMO-014,Phone,Credit Card,Cancelled,3805.39,285.4,3.99,4094.78,1870.17
ORD-000063,2024-06-19,CUST-00491,,PROMO-010,Mobile App,Debit Card,Returned,3621.78,271.63,1.96,3895.37,1486.63
ORD-000064,2023-08-12,CUST-00535,STORE-005,PROMO-014,Phone,Gift Card,Returned,579.57,43.47,10.27,633.31,269.28
ORD-000065,2023-09-29,CUST-01620,,PROMO-014,Marketplace,PayPal,Cancelled,582.76,43.71,12.74,639.21,209.76
ORD-000066,2024-07-29,CUST-02560,STORE-011,PROMO-014,In-Store,Debit Card,Completed,625.22,46.89,0.0,672.11,351.52
ORD-000067,2024-06-24,CUST-02726,STORE-011,PROMO-014,In-Store,Cash,Shipped,22.12,1.66,0.0,23.78,8.68
ORD-000068,2024-02-06,CUST-00949,,PROMO-014,Phone,Credit Card,Processing,866.13,64.96,3.73,934.82,426.03
ORD-000069,2024-09-26,CUST-02317,,PROMO-014,Website,Gift Card,Completed,1709.0,128.17,12.35,1849.52,747.93
ORD-000070,2024-07-13,CUST-00026,,PROMO-014,Website,Gift Card,Processing,445.62,33.42,1.22,480.26,237.79
ORD-000071,2023-08-28,CUST-00194,,PROMO-005,Marketplace,PayPal,Completed,2167.1,162.53,6.31,2335.94,711.43
ORD-000072,2023-09-08,CUST-01118,STORE-002,PROMO-014,In-Store,Credit Card,Completed,2862.78,214.71,0.0,3077.49,1471.68
ORD-000073,2024-09-12,CUST-00547,,PROMO-014,Website,Gift Card,Returned,229.42,17.21,12.02,258.65,120.75
ORD-000074,2024-03-12,CUST-02341,,PROMO-014,Mobile App,Cash,Returned,1018.14,76.36,14.45,1108.95,589.35
ORD-000075,2024-05-13,CUST-02836,STORE-003,PROMO-014,Mobile App,PayPal,Cancelled,320.76,24.06,8.76,353.58,126.12
ORD-000076,2023-12-11,CUST-00910,,PROMO-014,Phone,Debit Card,Returned,764.27,57.32,6.15,827.74,410.57
ORD-000077,2023-12-05,CUST-01510,,PROMO-014,Marketplace,Cash,Processing,98.38,7.38,10.34,116.1,45.62
ORD-000078,2023-12-05,CUST-00142,,PROMO-014,Mobile App,Cash,Cancelled,155.78,11.68,4.2,171.66,51.52
ORD-000079,2023-04-22,CUST-00474,STORE-006,PROMO-014,Marketplace,Cash,Completed,575.92,43.19,11.51,630.62,273.07
ORD-000080,2024-04-20,CUST-02990,,PROMO-014,Phone,Credit Card,Cancelled,3140.38,235.53,13.72,3389.63,1609.6
ORD-000081,2024-04-28,CUST-00474,,PROMO-014,Marketplace,PayPal,Shipped,4412.76,330.96,11.76,4755.48,1464.86
ORD-000082,2024-02-23,CUST-01682,,PROMO-014,Marketplace,Debit Card,Shipped,367.72,27.58,5.27,400.57,192.32
ORD-000083,2024-03-29,CUST-01142,,PROMO-014,Website,Debit Card,Returned,906.17,67.96,6.09,980.22,472.75
ORD-000084,2024-04-06,CUST-01392,,PROMO-014,Website,Debit Card,Completed,3043.77,228.28,2.82,3274.87,1513.23
ORD-000085,2023-04-21,CUST-02379,,PROMO-014,Phone,Gift Card,Completed,1120.95,84.07,6.31,1211.33,642.12
ORD-000086,2024-01-07,CUST-02187,,PROMO-014,Mobile App,Gift Card,Cancelled,576.71,43.25,11.49,631.45,333.52
ORD-000087,2023-02-27,CUST-02543,STORE-002,PROMO-014,In-Store,Cash,Cancelled,186.23,13.97,0.0,200.2,90.69
ORD-000088,2023-04-01,CUST-02753,,PROMO-014,Phone,Credit Card,Completed,2964.37,222.33,7.88,3194.58,1554.12
ORD-000089,2024-11-18,CUST-02373,STORE-010,PROMO-014,Phone,Cash,Returned,819.52,61.46,2.35,883.33,466.13
ORD-000090,2024-04-07,CUST-02182,,PROMO-014,Marketplace,Cash,Returned,782.43,58.68,1.25,842.36,294.96
ORD-000091,2024-04-28,CUST-02036,,PROMO-014,Marketplace,Apple Pay,Completed,1830.91,137.32,6.37,1974.6,702.5
ORD-000092,2024-09-08,CUST-01081,STORE-014,PROMO-014,Marketplace,Apple Pay,Processing,462.24,34.67,8.14,505.05,218.06
ORD-000093,2024-09-23,CUST-00711,,PROMO-014,Mobile App,Gift Card,Returned,962.91,72.22,1.3,1036.43,481.27
ORD-000094,2024-05-26,CUST-00338,STORE-005,PROMO-014,Phone,Gift Card,Completed,5054.08,379.06,6.31,5439.45,2847.84
ORD-000095,2023-11-04,CUST-00390,STORE-014,PROMO-014,In-Store,Debit Card,Processing,663.32,49.75,0.0,713.07,353.0
ORD-000096,2024-03-29,CUST-00699,STORE-002,PROMO-009,In-Store,Credit Card,Completed,2447.29,183.55,0.0,2630.84,1145.58
ORD-000097,2024-12-24,CUST-00916,,PROMO-014,Phone,Apple Pay,Completed,1045.3,78.4,12.62,1136.32,539.32
ORD-000098,2024-06-20,CUST-01040,STORE-008,PROMO-014,Website,Debit Card,Shipped,1316.38,98.73,1.52,1416.63,752.88
ORD-000099,2023-08-13,CUST-02829,,PROMO-014,Website,Credit Card,Completed,454.36,34.08,4.52,492.96,186.4
ORD-000100,2024-03-21,CUST-01876,STORE-014,PROMO-014,In-Store,Gift Card,Completed,2810.73,210.8,0.0,3021.53,1434.87
ORD-000101,2023-09-03,CUST-00515,,PROMO-014,Marketplace,Apple Pay,Completed,3579.36,268.45,11.63,3859.44,1541.6
ORD-000102,2024-02-04,CUST-02544,,PROMO-014,Phone,PayPal,Completed,1540.17,115.51,5.03,1660.71,746.53
ORD-000103,2024-04-25,CUST-01854,STORE-003,PROMO-014,Website,PayPal,Completed,5977.06,448.28,13.41,6438.75,2966.01
ORD-000104,2024-02-08,CUST-02004,STORE-006,PROMO-014,Phone,Credit Card,Processing,3635.26,272.64,2.66,3910.56,1979.07
ORD-000105,2024-09-29,CUST-01692,,PROMO-014,Mobile App,Cash,Returned,5393.94,404.55,2.79,5801.28,2304.69
ORD-000106,2023-02-04,CUST-00008,,PROMO-014,Phone,Credit Card,Completed,2508.23,188.12,2.73,2699.08,1435.14
ORD-000107,2024-03-16,CUST-01430,,PROMO-009,Marketplace,PayPal,Cancelled,552.7,41.45,4.22,598.37,250.9
ORD-000108,2024-12-08,CUST-00557,STORE-010,PROMO-014,In-Store,Gift Card,Returned,193.84,14.54,0.0,208.38,96.64
ORD-000109,2024-07-20,CUST-02345,STORE-001,PROMO-014,In-Store,Gift Card,Completed,781.36,58.6,0.0,839.96,324.55
ORD-000110,2023-01-31,CUST-02210,,PROMO-014,Website,Cash,Shipped,145.89,10.94,1.76,158.59,84.8
ORD-000111,2023-02-08,CUST-00239,STORE-015,PROMO-014,In-Store,Debit Card,Processing,2803.08,210.23,0.0,3013.31,1098.94
ORD-000112,2024-10-30,CUST-00062,STORE-004,PROMO-014,Mobile App,Apple Pay,Completed,2709.73,203.23,3.56,2916.52,1347.27
ORD-000113,2023-10-26,CUST-01124,,PROMO-014,Phone,Credit Card,Completed,165.55,12.42,12.49,190.46,88.92
ORD-000114,2023-05-18,CUST-02563,,PROMO-014,Marketplace,Cash,Returned,296.8,22.26,1.72,320.78,95.51
ORD-000115,2024-10-16,CUST-00169,,PROMO-014,Phone,Gift Card,Returned,2477.49,185.81,9.19,2672.49,1192.54
ORD-000116,2023-07-02,CUST-00760,,PROMO-004,Mobile App,Debit Card,Shipped,4055.94,304.2,11.4,4371.54,2106.54
ORD-000117,2023-11-29,CUST-02987,,PROMO-014,Website,Apple Pay,Completed,1567.66,117.57,11.59,1696.82,653.8
ORD-000118,2023-05-13,CUST-01973,,PROMO-014,Marketplace,Cash,Completed,3124.16,234.31,10.12,3368.59,1368.2
ORD-000119,2023-08-09,CUST-02554,STORE-011,PROMO-005,In-Store,Debit Card,Shipped,386.7,29.0,0.0,415.7,173.86
ORD-000120,2024-07-10,CUST-00327,STORE-012,PROMO-014,In-Store,Credit Card,Completed,536.02,40.2,0.0,576.22,241.46
ORD-000121,2023-10-27,CUST-00141,,PROMO-014,Marketplace,Gift Card,Cancelled,112.58,8.44,4.35,125.37,47.04
ORD-000122,2024-04-14,CUST-00200,STORE-008,PROMO-014,In-Store,Debit Card,Completed,36.64,2.75,0.0,39.39,13.72
ORD-000123,2023-05-19,CUST-02317,,PROMO-014,Marketplace,Credit Card,Processing,601.2,45.09,11.58,657.87,227.7
ORD-000124,2023-07-12,CUST-02201,,PROMO-014,Marketplace,PayPal,Processing,572.22,42.92,0.38,615.52,290.13
ORD-000125,2024-09-13,CUST-02674,STORE-010,PROMO-014,In-Store,Credit Card,Cancelled,214.59,16.09,0.0,230.68,81.27
ORD-000126,2024-02-06,CUST-01153,STORE-012,PROMO-014,Phone,Gift Card,Cancelled,4514.04,338.55,12.98,4865.57,2327.06
ORD-000127,2023-05-03,CUST-01021,,PROMO-014,Mobile App,Credit Card,Shipped,1518.96,113.92,1.1,1633.98,743.22
ORD-000128,2023-01-28,CUST-01449,STORE-004,PROMO-014,In-Store,Debit Card,Processing,2679.44,200.96,0.0,2880.4,1051.16
ORD-000129,2023-01-09,CUST-01979,STORE-001,PROMO-014,In-Store,Credit Card,Returned,944.9,70.87,0.0,1015.77,523.09
ORD-000130,2023-10-06,CUST-00107,,PROMO-014,Mobile App,Credit Card,Returned,195.12,14.63,4.92,214.67,108.24
ORD-000131,2024-03-11,CUST-02337,STORE-014,PROMO-014,In-Store,Cash,Returned,346.25,25.97,0.0,372.22,169.94
ORD-000132,2024-09-17,CUST-01575,STORE-010,PROMO-014,In-Store,Debit Card,Processing,1578.14,118.36,0.0,1696.5,893.37
ORD-000133,2023-01-11,CUST-02932,STORE-008,PROMO-014,In-Store,Cash,Completed,3443.49,258.26,0.0,3701.75,1854.44
ORD-000134,2023-06-29,CUST-01876,STORE-004,PROMO-004,In-Store,Cash,Shipped,1223.78,91.78,0.0,1315.56,562.08
ORD-000135,2023-02-20,CUST-02336,,PROMO-014,Phone,PayPal,Cancelled,1614.2,121.06,4.59,1739.85,780.77
ORD-000136,2024-11-05,CUST-00618,STORE-011,PROMO-014,Phone,Gift Card,Completed,1374.6,103.09,1.01,1478.7,628.72
ORD-000137,2024-07-29,CUST-01586,,PROMO-014,Marketplace,PayPal,Returned,240.92,18.07,5.04,264.03,100.1
ORD-000138,2023-01-15,CUST-00160,STORE-009,PROMO-014,Website,Credit Card,Shipped,1715.94,128.7,3.7,1848.34,779.4
ORD-000139,2024-07-07,CUST-01047,,PROMO-014,Website,Debit Card,Shipped,1269.81,95.24,13.46,1378.51,517.87
ORD-000140,2024-08-26,CUST-01093,,PROMO-014,Marketplace,Cash,Completed,494.17,37.06,11.77,543.0,276.43
ORD-000141,2024-12-05,CUST-00385,,PROMO-014,Phone,Cash,Shipped,1401.09,105.08,6.71,1512.88,761.04
ORD-000142,2023-05-31,CUST-00045,,PROMO-014,Phone,Debit Card,Processing,1144.02,85.8,3.92,1233.74,641.36
ORD-000143,2024-09-17,CUST-01723,,PROMO-014,Mobile App,Credit Card,Shipped,1427.84,107.09,9.6,1544.53,750.65
ORD-000144,2024-03-23,CUST-01338,,PROMO-014,Mobile App,Apple Pay,Completed,185.72,13.93,12.95,212.6,97.72
ORD-000145,2024-06-27,CUST-02155,,PROMO-010,Mobile App,Debit Card,Completed,2408.91,180.67,7.63,2597.21,1206.61
ORD-000146,2023-10-17,CUST-00676,,PROMO-014,Website,PayPal,Cancelled,23.94,1.8,7.75,33.49,7.97
ORD-000147,2023-06-16,CUST-02118,,PROMO-014,Phone,Cash,Returned,2153.17,161.49,14.72,2329.38,925.51
ORD-000148,2024-03-21,CUST-01036,STORE-015,PROMO-009,In-Store,Cash,Completed,2091.41,156.86,0.0,2248.27,811.7
ORD-000149,2024-01-06,CUST-01442,,PROMO-014,Marketplace,PayPal,Completed,387.44,29.06,14.57,431.07,154.29
ORD-000150,2024-12-21,CUST-01859,,PROMO-014,Mobile App,Gift Card,Processing,2602.32,195.17,15.08,2812.57,1308.24
ORD-000151,2023-06-26,CUST-00127,,PROMO-004,Mobile App,Gift Card,Completed,47.18,3.54,0.1,50.82,28.09
ORD-000152,2023-08-20,CUST-01625,,PROMO-014,Mobile App,Cash,Cancelled,76.29,5.72,3.87,85.88,25.32
ORD-000153,2023-12-26,CUST-00955,STORE-010,PROMO-014,In-Store,Cash,Cancelled,1265.34,94.9,0.0,1360.24,410.49
ORD-000154,2023-03-23,CUST-02040,STORE-012,PROMO-014,In-Store,Debit Card,Completed,647.41,48.56,0.0,695.97,337.89
ORD-000155,2024-04-01,CUST-01768,,PROMO-014,Website,PayPal,Returned,1335.06,100.13,11.72,1446.91,573.32
ORD-000156,2024-01-25,CUST-01920,STORE-003,PROMO-014,Mobile App,Cash,Completed,335.83,25.19,11.28,372.3,159.7
ORD-000157,2023-03-23,CUST-00593,STORE-015,PROMO-014,Website,Gift Card,Returned,266.24,19.97,1.44,287.65,126.06
ORD-000158,2023-01-26,CUST-00053,STORE-014,PROMO-014,Marketplace,Debit Card,Completed,131.49,9.86,14.82,156.17,54.55
ORD-000159,2024-12-15,CUST-01374,,PROMO-014,Website,Cash,Completed,1131.82,84.89,10.12,1226.83,538.92
ORD-000160,2024-07-16,CUST-00584,STORE-009,PROMO-014,Mobile App,Gift Card,Completed,5559.58,416.97,4.76,5981.31,2807.87
ORD-000161,2024-04-26,CUST-00466,STORE-007,PROMO-014,In-Store,Debit Card,Completed,5450.88,408.82,0.0,5859.7,2591.54
ORD-000162,2024-11-26,CUST-02673,STORE-012,PROMO-014,In-Store,Debit Card,Cancelled,74.98,5.62,0.0,80.6,29.96
ORD-000163,2024-07-03,CUST-02696,STORE-002,PROMO-014,In-Store,Credit Card,Shipped,1428.55,107.14,0.0,1535.69,697.59
ORD-000164,2024-12-12,CUST-00624,,PROMO-014,Marketplace,Credit Card,Returned,219.69,16.48,1.61,237.78,101.43
ORD-000165,2024-06-20,CUST-01661,,PROMO-014,Website,Cash,Completed,4652.66,348.95,9.61,5011.22,2395.38
ORD-000166,2023-11-23,CUST-02572,,PROMO-014,Website,Gift Card,Completed,1716.78,128.76,0.93,1846.47,654.24
ORD-000167,2023-09-29,CUST-01182,STORE-005,PROMO-014,In-Store,Gift Card,Completed,752.9,56.47,0.0,809.37,379.91
ORD-000168,2023-05-06,CUST-01963,STORE-007,PROMO-014,In-Store,Credit Card,Completed,99.19,7.44,0.0,106.63,41.62
ORD-000169,2024-06-12,CUST-02133,,PROMO-014,Mobile App,PayPal,Completed,68.57,5.14,6.5,80.21,34.37
ORD-000170,2023-04-25,CUST-00626,STORE-014,PROMO-014,In-Store,Credit Card,Processing,894.8,67.11,0.0,961.91,464.6
ORD-000171,2023-05-15,CUST-01309,,PROMO-014,Marketplace,PayPal,Completed,963.9,72.29,3.0,1039.19,525.04
ORD-000172,2024-07-09,CUST-01805,STORE-010,PROMO-014,In-Store,Gift Card,Shipped,751.62,56.37,0.0,807.99,326.98
ORD-000173,2023-09-30,CUST-02306,,PROMO-014,Mobile App,Apple Pay,Returned,148.9,11.17,3.04,163.11,79.6
ORD-000174,2024-03-20,CUST-01201,,PROMO-014,Marketplace,Credit Card,Completed,2037.8,152.83,7.42,2198.05,818.93
ORD-000175,2023-11-15,CUST-00960,,PROMO-014,Marketplace,Cash,Completed,1326.91,99.52,0.84,1427.27,459.31
ORD-000176,2024-12-08,CUST-02113,STORE-002,PROMO-014,Phone,PayPal,Completed,2171.94,162.9,1.78,2336.62,1127.6
ORD-000177,2023-12-26,CUST-01414,,PROMO-014,Mobile App,PayPal,Completed,2092.82,156.96,12.26,2262.04,1036.37
ORD-000178,2024-10-29,CUST-02128,,PROMO-014,Mobile App,Gift Card,Cancelled,4518.21,338.87,11.76,4868.84,2612.49
ORD-000179,2023-08-26,CUST-01279,STORE-002,PROMO-005,In-Store,Cash,Processing,735.63,55.17,0.0,790.8,300.71
ORD-000180,2023-06-29,CUST-00309,STORE-002,PROMO-014,In-Store,Credit Card,Processing,751.7,56.38,0.0,808.08,390.29
ORD-000181,2023-06-18,CUST-00761,,PROMO-014,Marketplace,Gift Card,Shipped,721.34,54.1,12.4,787.84,316.86
ORD-000182,2024-12-31,CUST-00547,,PROMO-014,Marketplace,Credit Card,Completed,2412.28,180.92,4.79,2597.99,823.76
ORD-000183,2023-11-14,CUST-01630,STORE-008,PROMO-014,In-Store,Credit Card,Returned,914.3,68.57,0.0,982.87,466.56
ORD-000184,2024-11-07,CUST-01435,STORE-011,PROMO-014,Marketplace,Cash,Shipped,630.98,47.32,6.71,685.01,331.66
ORD-000185,2023-04-07,CUST-02379,STORE-005,PROMO-014,In-Store,Credit Card,Completed,2009.58,150.72,0.0,2160.3,788.37
ORD-000186,2024-03-17,CUST-00967,,PROMO-014,Phone,Gift Card,Completed,1282.81,96.21,3.87,1382.89,691.12
ORD-000187,2024-05-26,CUST-02899,,PROMO-014,Website,Gift Card,Shipped,2170.59,162.79,11.07,2344.45,1109.86
ORD-000188,2024-10-16,CUST-02254,STORE-010,PROMO-014,In-Store,Credit Card,Completed,512.6,38.44,0.0,551.04,281.08
ORD-000189,2023-03-25,CUST-01638,STORE-006,PROMO-014,In-Store,Cash,Cancelled,807.68,60.58,0.0,868.26,245.42
ORD-000190,2024-06-12,CUST-02807,STORE-005,PROMO-010,In-Store,Cash,Returned,2239.89,167.99,0.0,2407.88,1435.94
ORD-000191,2024-10-24,CUST-02603,STORE-007,PROMO-014,In-Store,Gift Card,Cancelled,22.12,1.66,0.0,23.78,8.68
ORD-000192,2024-12-10,CUST-02033,,PROMO-014,Phone,Cash,Shipped,2175.25,163.14,14.07,2352.46,978.12
ORD-000193,2024-10-24,CUST-01715,STORE-009,PROMO-014,Website,Cash,Completed,1076.15,80.71,14.1,1170.96,550.02
ORD-000194,2024-11-17,CUST-00881,,PROMO-014,Website,Debit Card,Processing,160.43,12.03,15.57,188.03,85.89
ORD-000195,2023-06-04,CUST-01954,,PROMO-014,Marketplace,Apple Pay,Processing,3563.37,267.25,8.91,3839.53,1936.32
ORD-000196,2023-03-19,CUST-00604,STORE-004,PROMO-014,In-Store,Debit Card,Completed,1593.63,119.52,0.0,1713.15,651.35
ORD-000197,2023-12-03,CUST-01007,,PROMO-014,Mobile App,Credit Card,Completed,669.86,50.24,6.97,727.07,262.79
ORD-000198,2023-07-17,CUST-02354,,PROMO-014,Website,PayPal,Completed,1933.8,145.04,4.33,2083.17,964.91
ORD-000199,2024-07-24,CUST-02041,,PROMO-014,Mobile App,Apple Pay,Completed,2345.9,175.94,10.5,2532.34,1316.49
ORD-000200,2024-10-14,CUST-01561,STORE-004,PROMO-014,Mobile App,Gift Card,Completed,45.77,3.43,5.74,54.94,15.58
ORD-000201,2024-09-21,CUST-00216,,PROMO-014,Marketplace,PayPal,Completed,6057.45,454.31,6.24,6518.0,2361.27
ORD-000202,2024-09-17,CUST-01321,STORE-013,PROMO-014,In-Store,Debit Card,Processing,1452.37,108.93,0.0,1561.3,762.53
ORD-000203,2024-03-26,CUST-00362,,PROMO-014,Website,Debit Card,Completed,637.07,47.78,4.58,689.43,347.9
ORD-000204,2023-03-28,CUST-01724,,PROMO-014,Marketplace,Debit Card,Shipped,942.47,70.69,12.96,1026.12,468.8
ORD-000205,2024-01-20,CUST-02724,STORE-009,PROMO-014,In-Store,Cash,Cancelled,330.52,24.79,0.0,355.31,174.4
ORD-000206,2024-07-28,CUST-02870,,PROMO-014,Website,Cash,Processing,497.49,37.31,10.65,545.45,264.75
