product_id,product_name,department,category,brand,unit_price,unit_cost,weight_lbs,supplier_lead_days,reorder_point,is_active
PROD-00075,HomeNest Cookware Basic 75,Home & Kitchen,Cookware,SpaceSmart,330.52,174.4,4.9,24,91,1
PROD-00076,KitchenPro Cookware Basic 76,Home & Kitchen,Cookware,CozyLiving,435.87,135.44,5.0,4,20,0
PROD-00077,SpaceSmart Cookware Ultra 77,Home & Kitchen,Cookware,CozyLiving,723.09,233.99,19.2,10,44,1
PROD-00078,SpaceSmart Cookware Basic 78,Home & Kitchen,Cookware,CozyLiving,792.39,397.97,11.4,9,21,1
PROD-00079,HomeNest Cookware Basic 79,Home & Kitchen,Cookware,CleanEdge,286.68,142.69,23.8,10,30,1
PROD-00080,CleanEdge Cookware Max 80,Home & Kitchen,Cookware,CozyLiving,421.78,136.83,5.2,23,93,1
PROD-00081,KitchenPro Cookware Ultra 81,Home & Kitchen,Cookware,HomeNest,248.92,98.5,4.8,28,70,1
PROD-00082,CleanEdge Cookware Lite 82,Home & Kitchen,Cookware,CleanEdge,755.91,392.1,8.8,7,14,1
PROD-00083,CozyLiving Appliances Max 83,Home & Kitchen,Small Appliances,SpaceSmart,586.48,243.76,16.5,9,54,1
PROD-00084,CleanEdge Appliances Ultra 84,Home & Kitchen,Small Appliances,HomeNest,373.65,214.04,5.5,21,40,1
PROD-00085,HomeNest Appliances Pro 85,Home & Kitchen,Small Appliances,CleanEdge,550.76,275.7,2.3,26,39,1
PROD-00086,KitchenPro Appliances Ultra 86,Home & Kitchen,Small Appliances,KitchenPro,169.28,89.93,7.2,7,91,1
PROD-00087,KitchenPro Appliances Pro 87,Home & Kitchen,Small Appliances,SpaceSmart,430.15,171.0,13.8,18,61,1
PROD-00088,SpaceSmart Appliances Lite 88,Home & Kitchen,Small Appliances,SpaceSmart,587.81,234.82,15.7,21,82,0
PROD-00089,HomeNest Appliances Plus 89,Home & Kitchen,Small Appliances,KitchenPro,692.8,260.86,6.4,17,38,1
PROD-00090,KitchenPro Appliances Lite 90,Home & Kitchen,Small Appliances,CozyLiving,625.54,370.66,12.2,18,62,1
PROD-00091,SpaceSmart Appliances Ultra 91,Home & Kitchen,Small Appliances,CleanEdge,36.48,20.98,0.5,15,72,0
PROD-00092,SpaceSmart Appliances Pro 92,Home & Kitchen,Small Appliances,CleanEdge,68.57,34.37,13.6,9,49,1
PROD-00093,HomeNest Furniture Ultra 93,Home & Kitchen,Furniture,SpaceSmart,73.93,35.65,6.6,23,58,1
PROD-00094,CozyLiving Furniture Ultra 94,Home & Kitchen,Furniture,CleanEdge,503.58,174.28,13.8,11,68,1
PROD-00095,KitchenPro Furniture Ultra 95,Home & Kitchen,Furniture,SpaceSmart,588.25,307.59,22.2,4,40,1
PROD-00096,CleanEdge Furniture Lite 96,Home & Kitchen,Furniture,HomeNest,404.26,134.58,10.7,8,36,1
PROD-00097,SpaceSmart Furniture Max 97,Home & Kitchen,Furniture,CleanEdge,259.6,143.23,5.6,13,97,1
PROD-00098,HomeNest Furniture Pro 98,Home & Kitchen,Furniture,CozyLiving,589.96,308.61,8.6,29,40,0
PROD-00099,KitchenPro Furniture Ultra 99,Home & Kitchen,Furniture,SpaceSmart,667.53,286.66,24.4,3,22,1
PROD-00100,HomeNest Furniture Basic 100,Home & Kitchen,Furniture,KitchenPro,91.93,48.08,23.3,8,17,1
PROD-00101,SpaceSmart Bedding Ultra 101,Home & Kitchen,Bedding,CozyLiving,781.36,324.55,13.1,22,72,1
PROD-00102,KitchenPro Bedding Ultra 102,Home & Kitchen,Bedding,CozyLiving,235.33,103.58,8.4,23,33,1
PROD-00103,CleanEdge Bedding Plus 103,Home & Kitchen,Bedding,SpaceSmart,529.16,301.48,22.5,7,38,0
PROD-00104,SpaceSmart Bedding Max 104,Home & Kitchen,Bedding,KitchenPro,463.83,175.37,13.3,8,33,1
PROD-00105,SpaceSmart Bedding Max 105,Home & Kitchen,Bedding,SpaceSmart,532.17,281.86,22.7,8,72,1
PROD-00106,HomeNest Bedding Ultra 106,Home & Kitchen,Bedding,SpaceSmart,633.28,281.01,12.5,14,96,1
PROD-00107,KitchenPro Bedding Basic 107,Home & Kitchen,Bedding,HomeNest,536.66,223.04,14.3,24,50,1
PROD-00108,CleanEdge Bedding Plus 108,Home & Kitchen,Bedding,HomeNest,457.62,257.76,8.2,7,36,1
PROD-00109,SpaceSmart Bedding Ultra 109,Home & Kitchen,Bedding,SpaceSmart,247.84,111.26,9.6,11,76,1
PROD-00110,CleanEdge Bedding Lite 110,Home & Kitchen,Bedding,SpaceSmart,309.7,118.68,19.9,13,44,1
PROD-00111,HomeNest Bedding Max 111,Home & Kitchen,Bedding,CleanEdge,303.33,103.16,5.9,4,55,1
PROD-00112,CleanEdge Bedding Pro 112,Home & Kitchen,Bedding,CozyLiving,339.38,196.45,2.3,29,25,1
PROD-00113,CozyLiving Storage Lite 113,Home & Kitchen,Storage,CozyLiving,109.09,35.8,16.6,4,35,1
PROD-00114,SpaceSmart Storage Lite 114,Home & Kitchen,Storage,CleanEdge,49.19,22.81,9.7,9,38,1
PROD-00115,HomeNest Storage Lite 115,Home & Kitchen,Storage,CozyLiving,260.81,98.32,5.8,19,53,1
PROD-00116,HomeNest Storage Basic 116,Home & Kitchen,Storage,KitchenPro,480.37,286.5,10.8,28,30,1
PROD-00117,CleanEdge Storage Pro 117,Home & Kitchen,Storage,CleanEdge,235.25,139.4,2.9,20,86,1
PROD-00118,KitchenPro Storage Basic 118,Home & Kitchen,Storage,CleanEdge,196.53,79.47,15.5,27,60,1
PROD-00119,CozyLiving Storage Basic 119,Home & Kitchen,Storage,CozyLiving,171.4,66.14,22.8,18,51,1
PROD-00120,KitchenPro Storage Plus 120,Home & Kitchen,Storage,CozyLiving,619.52,364.17,7.5,27,85,1
PROD-00121,SpaceSmart Storage Basic 121,Home & Kitchen,Storage,HomeNest,280.96,160.04,0.8,19,71,1
PROD-00122,KitchenPro Storage Max 122,Home & Kitchen,Storage,SpaceSmart,32.2,11.66,23.0,25,98,1
PROD-00123,CleanEdge Storage Lite 123,Home & Kitchen,Storage,SpaceSmart,389.63,153.56,24.8,29,98,1
PROD-00124,KitchenPro Storage Max 124,Home & Kitchen,Storage,CleanEdge,746.82,423.48,7.6,5,97,1
PROD-00125,KitchenPro Storage Lite 125,Home & Kitchen,Storage,SpaceSmart,432.47,131.03,17.9,15,23,0
PROD-00126,CozyLiving Storage Pro 126,Home & Kitchen,Storage,KitchenPro,165.83,88.25,3.2,5,96,1
PROD-00127,ComfortFit Casual Basic 127,Clothing,Men's Casual,ActivePeak,171.53,62.85,21.6,8,99,1
PROD-00128,ComfortFit Casual Plus 128,Clothing,Men's Casual,StyleCraft,230.57,131.26,12.7,9,47,1
PROD-00129,ActivePeak Casual Ultra 129,Clothing,Men's Casual,TrailStep,23.75,13.16,23.2,27,50,1
PROD-00130,TrailStep Casual Pro 130,Clothing,Men's Casual,ComfortFit,204.36,91.97,12.4,27,10,1
PROD-00131,ActivePeak Casual Plus 131,Clothing,Men's Casual,UrbanThread,217.81,120.84,11.7,5,55,1
PROD-00132,TrailStep Casual Basic 132,Clothing,Men's Casual,ComfortFit,51.47,20.96,19.2,29,36,1
PROD-00133,ComfortFit Casual Lite 133,Clothing,Men's Casual,ComfortFit,160.71,86.08,4.1,5,59,0
PROD-00134,StyleCraft Casual Plus 134,Clothing,Men's Casual,UrbanThread,176.9,74.44,0.2,13,90,1
PROD-00135,StyleCraft Casual Basic 135,Clothing,Men's Casual,UrbanThread,113.46,67.75,14.7,18,86,1
PROD-00136,ComfortFit Casual Plus 136,Clothing,Men's Casual,TrailStep,59.48,30.3,18.0,6,41,1
PROD-00137,ActivePeak Casual Lite 137,Clothing,Men's Casual,UrbanThread,60.26,30.73,12.6,7,81,1
PROD-00138,ActivePeak Casual Plus 138,Clothing,Men's Casual,ActivePeak,165.55,88.92,9.9,9,87,1
PROD-00139,TrailStep Casual Plus 139,Clothing,Men's Casual,ComfortFit,220.29,96.62,16.9,28,50,1
PROD-00140,TrailStep Casual Pro 140,Clothing,Men's Casual,StyleCraft,236.1,112.27,2.1,18,100,1
PROD-00141,UrbanThread Casual Basic 141,Clothing,Women's Casual,UrbanThread,23.63,11.46,12.0,20,97,1
PROD-00142,StyleCraft Casual Lite 142,Clothing,Women's Casual,StyleCraft,191.73,77.29,10.3,17,71,1
PROD-00143,TrailStep Casual Ultra 143,Clothing,Women's Casual,ActivePeak,150.6,84.52,16.7,21,12,1
PROD-00144,TrailStep Casual Plus 144,Clothing,Women's Casual,StyleCraft,159.18,68.27,23.3,19,74,1
PROD-00145,UrbanThread Casual Pro 145,Clothing,Women's Casual,ComfortFit,210.08,93.48,5.6,18,65,1
PROD-00146,ActivePeak Casual Ultra 146,Clothing,Women's Casual,UrbanThread,229.56,103.05,3.7,15,83,1
PROD-00147,UrbanThread Casual Ultra 147,Clothing,Women's Casual,UrbanThread,25.68,10.86,20.5,28,74,1
PROD-00148,ActivePeak Casual Max 148,Clothing,Women's Casual,ComfortFit,145.89,84.8,0.8,18,77,1
PROD-00149,StyleCraft Wear Max 149,Clothing,Athletic Wear,UrbanThread,138.93,59.53,17.8,15,34,1
PROD-00150,StyleCraft Wear Basic 150,Clothing,Athletic Wear,TrailStep,52.48,29.6,13.4,18,30,0
PROD-00151,ActivePeak Wear Plus 151,Clothing,Athletic Wear,ComfortFit,74.64,43.88,11.7,30,44,1
PROD-00152,ComfortFit Wear Max 152,Clothing,Athletic Wear,StyleCraft,161.22,84.75,19.7,5,88,1
PROD-00153,UrbanThread Wear Basic 153,Clothing,Athletic Wear,ComfortFit,85.23,31.41,15.9,24,90,1
PROD-00154,UrbanThread Wear Plus 154,Clothing,Athletic Wear,TrailStep,192.64,96.9,18.1,12,90,1
PROD-00155,TrailStep Wear Pro 155,Clothing,Athletic Wear,ActivePeak,190.74,96.71,4.3,19,22,1
PROD-00156,ComfortFit Wear Max 156,Clothing,Athletic Wear,StyleCraft,177.9,78.6,17.7,27,27,1
PROD-00157,StyleCraft Wear Max 157,Clothing,Athletic Wear,ActivePeak,99.19,41.62,6.1,15,83,1
PROD-00158,StyleCraft Wear Max 158,Clothing,Athletic Wear,StyleCraft,212.62,117.97,20.9,14,53,1
PROD-00159,UrbanThread Wear Max 159,Clothing,Athletic Wear,ComfortFit,135.94,74.17,13.6,9,81,1
PROD-00160,TrailStep Outerwear Max 160,Clothing,Outerwear,StyleCraft,144.11,43.64,1.0,24,93,1
PROD-00161,StyleCraft Outerwear Plus 161,Clothing,Outerwear,UrbanThread,67.62,40.27,11.6,9,59,1
PROD-00162,TrailStep Outerwear Lite 162,Clothing,Outerwear,ActivePeak,176.48,91.03,24.1,6,19,1
PROD-00163,StyleCraft Outerwear Lite 163,Clothing,Outerwear,StyleCraft,186.23,90.69,0.9,13,75,1
PROD-00164,UrbanThread Outerwear Ultra 164,Clothing,Outerwear,ActivePeak,229.42,120.75,15.4,20,34,1
PROD-00165,ActivePeak Outerwear Max 165,Clothing,Outerwear,TrailStep,147.82,65.89,23.6,10,56,1
PROD-00166,StyleCraft Outerwear Plus 166,Clothing,Outerwear,StyleCraft,127.23,62.94,14.7,28,34,1
PROD-00167,StyleCraft Outerwear Pro 167,Clothing,Outerwear,StyleCraft,193.35,86.93,12.2,22,53,0
PROD-00168,StyleCraft Outerwear Plus 168,Clothing,Outerwear,UrbanThread,184.98,58.58,11.2,26,13,1
PROD-00169,StyleCraft Outerwear Ultra 169,Clothing,Outerwear,UrbanThread,222.41,72.33,15.4,6,37,1
PROD-00170,UrbanThread Outerwear Max 170,Clothing,Outerwear,TrailStep,88.58,41.82,21.6,25,70,1
PROD-00171,TrailStep Footwear Lite 171,Clothing,Footwear,StyleCraft,237.36,125.98,18.8,3,94,1
PROD-00172,UrbanThread Footwear Basic 172,Clothing,Footwear,UrbanThread,230.63,119.58,10.0,5,82,0
PROD-00173,UrbanThread Footwear Plus 173,Clothing,Footwear,ActivePeak,200.32,98.0,24.7,24,22,0
PROD-00174,ComfortFit Footwear Basic 174,Clothing,Footwear,ActivePeak,56.74,22.52,6.6,22,72,1
PROD-00175,UrbanThread Footwear Basic 175,Clothing,Footwear,ComfortFit,174.34,85.76,22.3,19,72,1
PROD-00176,TrailStep Footwear Lite 176,Clothing,Footwear,UrbanThread,112.58,47.04,0.3,11,96,1
PROD-00177,StyleCraft Footwear Lite 177,Clothing,Footwear,StyleCraft,97.89,39.82,4.7,9,60,1
PROD-00178,ComfortFit Footwear Plus 178,Clothing,Footwear,StyleCraft,208.75,100.65,4.6,5,20,1
PROD-00179,PeakGear Equipment Lite 179,Sports & Outdoors,Fitness Equipment,TrailBlazer,172.49,84.41,13.3,12,76,1
PROD-00180,TrailBlazer Equipment Max 180,Sports & Outdoors,Fitness Equipment,GameDay,544.24,187.9,4.1,20,31,1
PROD-00181,TrailBlazer Equipment Lite 181,Sports & Outdoors,Fitness Equipment,GameDay,283.2,107.4,24.0,15,14,1
PROD-00182,TrailBlazer Equipment Pro 182,Sports & Outdoors,Fitness Equipment,PeakGear,362.91,129.07,8.1,22,68,1
PROD-00183,GameDay Equipment Plus 183,Sports & Outdoors,Fitness Equipment,TrailBlazer,126.27,48.32,19.9,26,35,1
PROD-00184,FitForce Equipment Lite 184,Sports & Outdoors,Fitness Equipment,PeakGear,263.35,152.28,16.0,10,85,1
PROD-00185,FitForce Equipment Lite 185,Sports & Outdoors,Fitness Equipment,AquaPro,296.8,95.51,16.5,27,72,1
PROD-00186,GameDay Equipment Max 186,Sports & Outdoors,Fitness Equipment,TrailBlazer,358.07,213.66,12.5,26,72,1
PROD-00187,FitForce Equipment Pro 187,Sports & Outdoors,Fitness Equipment,GameDay,65.32,32.33,2.5,8,100,1
PROD-00188,FitForce Equipment Plus 188,Sports & Outdoors,Fitness Equipment,PeakGear,488.08,282.78,19.3,25,79,1
PROD-00189,TrailBlazer Equipment Pro 189,Sports & Outdoors,Fitness Equipment,AquaPro,64.12,32.65,15.0,14,15,0
PROD-00190,FitForce Equipment Lite 190,Sports & Outdoors,Fitness Equipment,GameDay,146.54,62.22,23.8,27,73,1
PROD-00191,AquaPro Gear Plus 191,Sports & Outdoors,Camping Gear,TrailBlazer,66.08,26.6,19.6,26,98,1
PROD-00192,GameDay Gear Plus 192,Sports & Outdoors,Camping Gear,GameDay,126.91,65.21,15.6,5,99,1
PROD-00193,GameDay Gear Lite 193,Sports & Outdoors,Camping Gear,AquaPro,214.82,101.26,8.7,26,46,1
PROD-00194,GameDay Gear Pro 194,Sports & Outdoors,Camping Gear,PeakGear,552.71,296.15,10.5,23,77,1
PROD-00195,AquaPro Gear Max 195,Sports & Outdoors,Camping Gear,GameDay,49.05,21.24,24.2,13,75,1
PROD-00196,TrailBlazer Gear Plus 196,Sports & Outdoors,Camping Gear,PeakGear,191.18,95.58,16.6,12,52,1
PROD-00197,GameDay Gear Pro 197,Sports & Outdoors,Camping Gear,PeakGear,390.2,222.6,7.3,25,29,1
PROD-00198,AquaPro Cycling Ultra 198,Sports & Outdoors,Cycling,TrailBlazer,98.35,53.79,21.1,27,92,1
PROD-00199,FitForce Cycling Basic 199,Sports & Outdoors,Cycling,GameDay,189.01,98.41,20.1,23,53,1
PROD-00200,GameDay Cycling Plus 200,Sports & Outdoors,Cycling,GameDay,14.88,7.7,24.6,19,67,1
PROD-00201,AquaPro Cycling Lite 201,Sports & Outdoors,Cycling,FitForce,135.68,43.38,12.6,14,21,1
PROD-00202,PeakGear Cycling Pro 202,Sports & Outdoors,Cycling,GameDay,573.63,286.32,13.8,8,68,1
PROD-00203,TrailBlazer Cycling Basic 203,Sports & Outdoors,Cycling,FitForce,575.07,214.65,23.8,23,32,1
PROD-00204,AquaPro Cycling Basic 204,Sports & Outdoors,Cycling,FitForce,478.36,279.73,24.4,5,69,1
PROD-00205,GameDay Cycling Max 205,Sports & Outdoors,Cycling,FitForce,538.18,234.99,20.8,25,55,1
PROD-00206,FitForce Cycling Basic 206,Sports & Outdoors,Cycling,AquaPro,164.13,68.04,10.9,18,40,1
PROD-00207,FitForce Cycling Ultra 207,Sports & Outdoors,Cycling,GameDay,456.1,270.31,3.0,13,37,1
PROD-00208,TrailBlazer Cycling Basic 208,Sports & Outdoors,Cycling,GameDay,450.58,235.4,0.8,14,67,1
PROD-00209,PeakGear Cycling Ultra 209,Sports & Outdoors,Cycling,AquaPro,503.84,173.11,1.0,26,37,1
PROD-00210,PeakGear Cycling Basic 210,Sports & Outdoors,Cycling,TrailBlazer,277.62,121.68,3.4,11,90,1
PROD-00211,GameDay Cycling Plus 211,Sports & Outdoors,Cycling,AquaPro,581.93,304.22,16.1,4,11,1
PROD-00212,PeakGear Sports Max 212,Sports & Outdoors,Water Sports,GameDay,495.16,259.56,5.2,3,46,1
PROD-00213,PeakGear Sports Pro 213,Sports & Outdoors,Water Sports,PeakGear,136.68,69.92,10.9,6,54,1
PROD-00214,GameDay Sports Plus 214,Sports & Outdoors,Water Sports,FitForce,272.45,136.15,6.4,21,44,1
PROD-00215,AquaPro Sports Ultra 215,Sports & Outdoors,Water Sports,AquaPro,407.0,187.35,3.0,22,72,1
PROD-00216,FitForce Sports Pro 216,Sports & Outdoors,Water Sports,FitForce,457.15,233.28,18.8,30,79,1
PROD-00217,FitForce Sports Pro 217,Sports & Outdoors,Water Sports,FitForce,359.18,185.91,19.5,29,71,1
PROD-00218,GameDay Sports Pro 218,Sports & Outdoors,Water Sports,AquaPro,291.38,104.88,9.1,28,34,1
PROD-00219,GameDay Sports Pro 219,Sports & Outdoors,Water Sports,AquaPro,147.31,45.12,16.9,25,75,1
PROD-00220,TrailBlazer Sports Lite 220,Sports & Outdoors,Water Sports,PeakGear,238.27,105.58,2.1,25,92,1
PROD-00221,PeakGear Sports Max 221,Sports & Outdoors,Water Sports,GameDay,77.89,25.76,1.5,27,51,1
PROD-00222,AquaPro Sports Ultra 222,Sports & Outdoors,Team Sports,PeakGear,202.75,97.77,21.4,13,19,1
PROD-00223,AquaPro Sports Max 223,Sports & Outdoors,Team Sports,TrailBlazer,188.78,76.17,5.1,23,69,1
PROD-00224,TrailBlazer Sports Max 224,Sports & Outdoors,Team Sports,PeakGear,145.63,52.8,24.5,9,80,1
PROD-00225,PeakGear Sports Pro 225,Sports & Outdoors,Team Sports,AquaPro,167.92,63.68,2.9,21,44,1
PROD-00226,AquaPro Sports Lite 226,Sports & Outdoors,Team Sports,PeakGear,35.05,16.8,23.6,6,31,1
PROD-00227,PeakGear Sports Basic 227,Sports & Outdoors,Team Sports,FitForce,430.55,175.06,1.5,23,33,1
PROD-00228,FitForce Sports Plus 228,Sports & Outdoors,Team Sports,GameDay,288.67,121.65,2.6,14,83,1
PROD-00229,GameDay Sports Basic 229,Sports & Outdoors,Team Sports,TrailBlazer,315.69,118.37,4.9,4,82,1
PROD-00230,AquaPro Sports Max 230,Sports & Outdoors,Team Sports,GameDay,36.8,14.58,6.7,30,45,1
PROD-00231,TrailBlazer Sports Pro 231,Sports & Outdoors,Team Sports,AquaPro,519.7,170.42,7.2,22,66,1
PROD-00232,TrailBlazer Sports Plus 232,Sports & Outdoors,Team Sports,AquaPro,14.11,7.05,7.3,19,54,1
